T_ambient,T_setpoint,compressor_speed_ratio,P_evap,P_cond,T_evap,T_cond,T_suction,T_discharge,superheat,subcooling,compression_ratio,W_comp,Q_cond,COP,delta_T_evap,delta_T_cond,pressure_ratio,capacity_ratio,d_T_discharge,d_superheat,d_subcooling,d_COP,d_W_comp,fault_type,fault_severity,is_faulty
22.9064032874557,30.7519571584826,1.0,13.08723579822861,22.379112974496735,17.2779996330883,36.71907417405737,23.0095989654733,59.81278009542315,6.3888959677144745,4.533015348780608,1.7099953970055162,1789.5229255835366,8223.33482396925,4.595266540822741,5.6284036543674,5.967117015574768,1.7099953970055162,0.8223334823969249,0.4646619429245362,0.48132714948710476,0.37348012098257843,0.09700681134427924,-4.948895158424193,Normal,0.0,0
22.667102150286137,24.850888833505056,1.0,13.5713117235434,19.461396628067114,17.281172609911792,29.38840116317129,23.07749375398016,47.70044554828581,6.564486146360446,4.443026271172562,1.4340099928812071,1132.0986506062984,7908.58850363814,6.98577681318026,5.385929540374345,4.537512329666235,1.4340099928812071,0.790858850363814,0.19190904975438627,0.506143241790082,-0.16631802719194422,0.13561423373533987,-59.63354602251343,Normal,0.0,0
16.494643519897974,18.484927912851326,1.0,11.159440953277429,16.025868049672404,10.859560482857033,24.075934697165817,17.926470062595904,42.6762389614001,6.484139177295741,3.658565114192098,1.4360816206447824,1033.2133700625882,7074.025043537574,6.8466255359326755,5.635083037040941,5.591006784314491,1.4360816206447824,0.7074025043537574,-0.2017396615143383,0.055151236667163595,-0.7457827233670944,0.0717569258025943,29.457399509449147,Normal,0.0,0
14.98074256144471,26.94650654546963,1.0,10.765798429221595,20.154468191818907,9.480826614550708,32.388520487416606,15.3045369138775,57.305056967121615,5.8091310530008355,3.9020801772054803,1.8720829973105995,1607.0805847569707,6670.869073720539,4.150923816137904,5.499915946894003,5.442013941946975,1.8720829973105995,0.6670869073720539,-0.13228418102782058,0.02078020902291211,-0.5580607173413199,-0.15322247841431658,103.31918484688958,Normal,0.0,0
14.833524805433601,46.70595099491622,1.0,11.224553889292382,31.76026457424053,10.655022117347174,51.42822343193098,16.183545554179815,86.35926806863499,5.830483462049719,4.9201540687286975,2.829534686856295,2475.9579717817082,6614.8947263736845,2.6716506506827264,4.178502688086427,4.722272437014759,2.829534686856295,0.6614894726373685,-0.210264672923401,-0.28585464362763346,0.409227995966976,0.3028201008031375,-260.79562803625277,Normal,0.0,0
15.60003688804502,31.475970285904967,1.0,10.899941030774798,22.597343108888396,9.326061573263376,35.73853889657281,15.45715512972204,63.092949659634286,5.311656926221845,4.817575473407202,2.0731619597837505,1783.8683944997658,6471.73259291358,3.6279204300429293,6.273975314781644,4.262568610667845,2.0731619597837505,0.647173259291358,-1.6518361345815435,-0.8955477904161526,0.8123445334231345,-0.4321312081127666,102.89216714416398,Normal,0.0,0
17.543706627825667,34.632489787068415,1.0,11.747926203379745,23.58668483525251,12.096275194620953,38.262158199322414,18.370948116497193,66.14899285952501,6.883964956789941,4.565137260736443,2.007731784054524,2014.272851262745,7090.704471426653,3.520230373447917,5.447431433204715,3.6296684122539986,2.007731784054524,0.7090704471426653,0.38380206420303864,0.4647203549217691,0.5166008497799561,-0.1002007768056905,3.003353227007892,Normal,0.0,0
19.83715880936679,26.19549588629009,1.0,12.101371164415355,19.03549688112712,14.70041666748681,32.21253325466569,20.69411851541247,52.689483300998205,6.1429130698012715,5.153000870853412,1.5730033086747959,1438.0885858820682,7539.679832896495,5.242847976762117,5.1367421418799815,6.017037368375604,1.5730033086747959,0.7539679832896495,0.5529153528053072,0.8269926694241043,-0.17246309526221282,0.18969859241813936,-64.47443892288288,Normal,0.0,0
16.656715471491694,35.93473744462655,1.0,11.300935351736117,24.81068398332369,10.951463625559342,41.300379504842205,17.122811833318845,71.28485870027097,6.045292453450873,4.821969396638429,2.1954540231496966,1952.311069099417,6856.305288218849,3.51189182745432,5.705251845932352,5.365642060215656,2.1954540231496966,0.6856305288218848,0.24578965947885933,0.7084888123206552,0.30665365034121983,0.19545040326839258,-97.73067113268621,Normal,0.0,0
19.248313254706822,37.87509086430854,1.0,12.248335531011616,26.26270550272093,14.413852773558629,42.68086813402721,20.37081098514571,71.37393066570472,7.25873701876696,5.438422305640835,2.144185668022097,2140.1169633422282,7371.0758315922485,3.444239711123458,4.834460481148193,4.805777269718668,2.144185668022097,0.7371075831592249,0.47865608394126014,1.5858102388008586,2.012066820510163,0.15080184275558173,-45.502228388463664,Normal,0.0,0
