experiment,protocol,reference,features,model,label,metric,value,n,note
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.510218,5386,fold-mean; F1=0.422; mae_h=7.2504
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.422281,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.50216,5386,fold-mean; F1=0.415; mae_h=8.0963
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.415117,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.495922,5386,fold-mean; F1=0.413; mae_h=8.2410
X3,LOMO,knn-k10-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.413475,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.477434,5386,fold-mean; F1=0.401; mae_h=8.7571
X3,LOMO,knn-k10-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.401197,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.463417,5386,fold-mean; F1=0.388; mae_h=10.2868
X3,LOMO,knn-k10-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.388092,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.561972,5386,fold-mean; F1=0.468; mae_h=4.1553
X3,LOMO,knn-k10-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.467636,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.506538,5386,fold-mean; F1=0.427; mae_h=6.8536
X3,LOMO,knn-k10-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.42696,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.490693,5386,fold-mean; F1=0.410; mae_h=8.2615
X3,LOMO,knn-k10-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.410053,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.482183,5386,fold-mean; F1=0.409; mae_h=8.2443
X3,LOMO,knn-k10-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.408849,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.459349,5386,fold-mean; F1=0.390; mae_h=8.5445
X3,LOMO,knn-k10-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.389514,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.443739,5386,fold-mean; F1=0.361; mae_h=12.3905
X3,LOMO,knn-k10-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.360527,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.561259,5386,fold-mean; F1=0.456; mae_h=3.1943
X3,LOMO,knn-k10-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.456311,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.502666,5386,fold-mean; F1=0.416; mae_h=7.5284
X3,LOMO,knn-k10-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.416427,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.492906,5386,fold-mean; F1=0.405; mae_h=8.6886
X3,LOMO,knn-k10-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.405067,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.483553,5386,fold-mean; F1=0.407; mae_h=8.1978
X3,LOMO,knn-k10-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.406532,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.463831,5386,fold-mean; F1=0.393; mae_h=8.7370
X3,LOMO,knn-k10-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.392995,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.451799,5386,fold-mean; F1=0.377; mae_h=10.2542
X3,LOMO,knn-k10-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.376933,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.654964,5386,fold-mean; F1=0.520; mae_h=0.0005
X3,LOMO,knn-k20-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.520324,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.501764,5386,fold-mean; F1=0.421; mae_h=6.4990
X3,LOMO,knn-k20-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.421086,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.493194,5386,fold-mean; F1=0.410; mae_h=7.7198
X3,LOMO,knn-k20-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.410165,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.487419,5386,fold-mean; F1=0.406; mae_h=7.7070
X3,LOMO,knn-k20-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.405773,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.460519,5386,fold-mean; F1=0.388; mae_h=8.7829
X3,LOMO,knn-k20-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.388321,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.44054,5386,fold-mean; F1=0.353; mae_h=12.0959
X3,LOMO,knn-k20-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.352535,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.641331,5386,fold-mean; F1=0.501; mae_h=0.0001
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.501259,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.509223,5386,fold-mean; F1=0.424; mae_h=6.3672
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.423594,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.497212,5386,fold-mean; F1=0.414; mae_h=7.7944
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.413916,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.494232,5386,fold-mean; F1=0.419; mae_h=8.0986
X3,LOMO,knn-k20-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.419104,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.473096,5386,fold-mean; F1=0.402; mae_h=8.9678
X3,LOMO,knn-k20-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.402076,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.460578,5386,fold-mean; F1=0.382; mae_h=10.0137
X3,LOMO,knn-k20-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.3817,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.498681,5386,fold-mean; F1=0.415; mae_h=6.4958
X3,LOMO,knn-k20-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.414514,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.488229,5386,fold-mean; F1=0.409; mae_h=7.6322
X3,LOMO,knn-k20-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.40913,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.484472,5386,fold-mean; F1=0.403; mae_h=8.0274
X3,LOMO,knn-k20-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.403164,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.479769,5386,fold-mean; F1=0.401; mae_h=7.9683
X3,LOMO,knn-k20-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.400585,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.453923,5386,fold-mean; F1=0.380; mae_h=9.2430
X3,LOMO,knn-k20-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.379583,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.439877,5386,fold-mean; F1=0.352; mae_h=12.2343
X3,LOMO,knn-k20-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.351741,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.4983,5386,fold-mean; F1=0.415; mae_h=7.0176
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.414709,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.484483,5386,fold-mean; F1=0.405; mae_h=8.1546
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.40465,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.48296,5386,fold-mean; F1=0.403; mae_h=8.5784
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.402518,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.479099,5386,fold-mean; F1=0.406; mae_h=8.7441
X3,LOMO,knn-k20-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.405842,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.464548,5386,fold-mean; F1=0.392; mae_h=9.4472
X3,LOMO,knn-k20-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.392143,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.462661,5386,fold-mean; F1=0.381; mae_h=10.1589
X3,LOMO,knn-k20-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.380725,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.523307,5386,fold-mean; F1=0.438; mae_h=5.3409
X3,LOMO,knn-k20-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.438129,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.486021,5386,fold-mean; F1=0.412; mae_h=6.5993
X3,LOMO,knn-k20-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.412216,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.477245,5386,fold-mean; F1=0.403; mae_h=7.1264
X3,LOMO,knn-k20-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.402899,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.469447,5386,fold-mean; F1=0.399; mae_h=7.2924
X3,LOMO,knn-k20-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.398705,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.4424,5386,fold-mean; F1=0.371; mae_h=8.7294
X3,LOMO,knn-k20-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.3709,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.438361,5386,fold-mean; F1=0.349; mae_h=12.1865
X3,LOMO,knn-k20-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.349202,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.515901,5386,fold-mean; F1=0.427; mae_h=5.6349
X3,LOMO,knn-k20-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.426967,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.484043,5386,fold-mean; F1=0.403; mae_h=6.9794
X3,LOMO,knn-k20-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.402724,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.479654,5386,fold-mean; F1=0.400; mae_h=7.4673
X3,LOMO,knn-k20-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.399783,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.480051,5386,fold-mean; F1=0.403; mae_h=7.7513
X3,LOMO,knn-k20-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.403449,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.465065,5386,fold-mean; F1=0.391; mae_h=8.5558
X3,LOMO,knn-k20-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.391414,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k20-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.464223,5386,fold-mean; F1=0.386; mae_h=9.8409
X3,LOMO,knn-k20-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.385939,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.651892,5386,fold-mean; F1=0.507; mae_h=0.0001
X3,LOMO,knn-k3-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.506673,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.529478,5386,fold-mean; F1=0.442; mae_h=5.7676
X3,LOMO,knn-k3-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.441644,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.505712,5386,fold-mean; F1=0.419; mae_h=8.0229
X3,LOMO,knn-k3-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.419014,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.494298,5386,fold-mean; F1=0.413; mae_h=8.4741
X3,LOMO,knn-k3-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.41339,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.458741,5386,fold-mean; F1=0.385; mae_h=8.7681
X3,LOMO,knn-k3-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.384882,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.438986,5386,fold-mean; F1=0.359; mae_h=12.4072
X3,LOMO,knn-k3-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.35919,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.644872,5386,fold-mean; F1=0.499; mae_h=0.0000
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.499115,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.549835,5386,fold-mean; F1=0.449; mae_h=5.4134
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.448939,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.515118,5386,fold-mean; F1=0.421; mae_h=7.3807
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.421048,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.509246,5386,fold-mean; F1=0.419; mae_h=6.8742
X3,LOMO,knn-k3-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.41893,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.491834,5386,fold-mean; F1=0.401; mae_h=8.1117
X3,LOMO,knn-k3-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.400705,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.451788,5386,fold-mean; F1=0.373; mae_h=11.1417
X3,LOMO,knn-k3-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.373327,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.590061,5386,fold-mean; F1=0.478; mae_h=1.5135
X3,LOMO,knn-k3-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.478158,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.51737,5386,fold-mean; F1=0.433; mae_h=6.0888
X3,LOMO,knn-k3-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.433042,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.501167,5386,fold-mean; F1=0.414; mae_h=8.2419
X3,LOMO,knn-k3-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.414348,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.493211,5386,fold-mean; F1=0.413; mae_h=8.5142
X3,LOMO,knn-k3-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.413307,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.458703,5386,fold-mean; F1=0.385; mae_h=8.7797
X3,LOMO,knn-k3-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.384909,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.439774,5386,fold-mean; F1=0.360; mae_h=12.4011
X3,LOMO,knn-k3-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.360118,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.607682,5386,fold-mean; F1=0.482; mae_h=1.2514
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.482343,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.530778,5386,fold-mean; F1=0.436; mae_h=6.0280
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.436335,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.507571,5386,fold-mean; F1=0.415; mae_h=7.5517
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.415154,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.503547,5386,fold-mean; F1=0.414; mae_h=6.9967
X3,LOMO,knn-k3-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.413947,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.488762,5386,fold-mean; F1=0.399; mae_h=8.2335
X3,LOMO,knn-k3-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.398611,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.452445,5386,fold-mean; F1=0.374; mae_h=11.1374
X3,LOMO,knn-k3-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.374345,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.634542,5386,fold-mean; F1=0.495; mae_h=0.7926
X3,LOMO,knn-k3-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.495356,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.527841,5386,fold-mean; F1=0.438; mae_h=5.9355
X3,LOMO,knn-k3-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.437651,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.506473,5386,fold-mean; F1=0.424; mae_h=8.4712
X3,LOMO,knn-k3-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.424159,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.486027,5386,fold-mean; F1=0.409; mae_h=8.9208
X3,LOMO,knn-k3-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.408725,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.449471,5386,fold-mean; F1=0.373; mae_h=9.4312
X3,LOMO,knn-k3-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.37305,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.427513,5386,fold-mean; F1=0.351; mae_h=13.8877
X3,LOMO,knn-k3-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.350941,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.635341,5386,fold-mean; F1=0.489; mae_h=0.3518
X3,LOMO,knn-k3-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.489021,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.531653,5386,fold-mean; F1=0.432; mae_h=6.3355
X3,LOMO,knn-k3-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.432363,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.506228,5386,fold-mean; F1=0.411; mae_h=8.0740
X3,LOMO,knn-k3-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.410904,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.504129,5386,fold-mean; F1=0.413; mae_h=7.3953
X3,LOMO,knn-k3-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.413319,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.482281,5386,fold-mean; F1=0.390; mae_h=8.6784
X3,LOMO,knn-k3-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.389905,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k3-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.443687,5386,fold-mean; F1=0.362; mae_h=12.1402
X3,LOMO,knn-k3-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.361683,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k5-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.652849,5386,fold-mean; F1=0.507; mae_h=0.0002
X3,LOMO,knn-k5-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.506593,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k5-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.518495,5386,fold-mean; F1=0.429; mae_h=5.9669
X3,LOMO,knn-k5-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.429003,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k5-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.501074,5386,fold-mean; F1=0.414; mae_h=7.8329
