experiment,protocol,reference,features,model,label,metric,value,n,note
X3,LOMO,global-mean-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.296127,5386,macro; mean of two LOMO folds
X3,LOMO,global-mean-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.328076,5386,fold-mean; F1=0.296; mae_h=38.6219
X3,LOMO,global-mean-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.296143,5386,macro; mean of two LOMO folds
X3,LOMO,global-mean-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.328076,5386,fold-mean; F1=0.296; mae_h=38.6842
X3,LOMO,global-mean-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.296048,5386,macro; mean of two LOMO folds
X3,LOMO,global-mean-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.326407,5386,fold-mean; F1=0.295; mae_h=38.8334
X3,LOMO,global-mean-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.29486,5386,macro; mean of two LOMO folds
X3,LOMO,global-mean-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.32427,5386,fold-mean; F1=0.294; mae_h=39.2696
X3,LOMO,global-mean-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.293584,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.336549,5386,fold-mean; F1=0.308; mae_h=37.9115
X3,LOMO,global-median-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.308138,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.335744,5386,fold-mean; F1=0.308; mae_h=38.0802
X3,LOMO,global-median-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.307788,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.334825,5386,fold-mean; F1=0.308; mae_h=38.2830
X3,LOMO,global-median-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.3076,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.336174,5386,fold-mean; F1=0.310; mae_h=38.4797
X3,LOMO,global-median-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.309504,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.336696,5386,fold-mean; F1=0.310; mae_h=38.9065
X3,LOMO,global-median-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.309783,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.323434,5386,fold-mean; F1=0.302; mae_h=39.8980
X3,LOMO,global-median-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.301963,5386,macro; mean of two LOMO folds
