protocol,reference,accuracy,ci_low,ci_high,f1,majority,n
sim2sim,simulated,0.9206666666666666,0.9058903811865503,0.9332937456523401,0.9172083166213879,0.4,1500
sim2real,measured-knn5,0.45361911454673226,0.43540308905871994,0.471960183342104,0.3429170640888306,0.28109627547434995,2846
lomo,measured-knn5,0.6679550245959242,0.6504362311404689,0.685021009711093,0.5964321100503633,0.28109627547434995,2846
