estimator,dew,dmin,acc,f1,acc_14,acc_16,mae_healthy,n
knn-k3-mean-unif,TT,0.5,0.4932105181032417,0.41330692832422483,0.4665289256198347,0.5198921105866486,8.514234760894631,5386
knn-k3-mean-unif,TT,1.0,0.4587034601516916,0.38490879141466283,0.4359504132231405,0.48145650708024273,8.779742880019901,5386
knn-k3-mean-unif,TT,2.0,0.4397744687728137,0.3601180777028009,0.428099173553719,0.4514497639919083,12.401126440108872,5386
knn-k3-mean-dist,TT,0.0,0.6518921050138484,0.5066732994623078,0.7326446280991735,0.5711395819285232,0.00011873351941864705,5386
knn-k3-mean-dist,TT,0.1,0.5294784416221308,0.44164405062069806,0.5107438016528926,0.5482130815913688,5.767585570842148,5386
knn-k3-mean-dist,TT,0.25,0.5057119809633143,0.4190141466546714,0.47231404958677686,0.5391099123398516,8.02293983520098,5386
knn-k3-mean-dist,TT,0.5,0.4942980500771833,0.41339049734522104,0.46735537190082643,0.5212407282535402,8.474063262146833,5386
knn-k3-mean-dist,TT,1.0,0.45874149451357815,0.3848824565243255,0.43636363636363634,0.4811193526635199,8.768072488969878,5386
knn-k3-mean-dist,TT,2.0,0.4389860568537084,0.35918955716516643,0.4268595041322314,0.45111260957518545,12.407242396828034,5386
knn-k5-median-unif,TT,0.0,0.6024790602029614,0.479125464937037,0.6371900826446281,0.5677680377612947,2.1490859125982005,5386
knn-k5-median-unif,TT,0.1,0.5186247164837859,0.4309252380471621,0.5045454545454545,0.5327039784221174,6.861976296961019,5386
knn-k5-median-unif,TT,0.25,0.4991107203958917,0.40839921169857146,0.4665289256198347,0.5316925151719487,9.137052124665736,5386
knn-k5-median-unif,TT,0.5,0.482362923045201,0.40039196289833634,0.4512396694214876,0.5134861766689144,8.943762273139477,5386
knn-k5-median-unif,TT,1.0,0.45197165673779416,0.37424453043293227,0.4305785123966942,0.4733648010788941,9.18834357594137,5386
knn-k5-median-unif,TT,2.0,0.4339677502048004,0.35404954151926776,0.41446280991735535,0.4534726904922454,13.379964931672763,5386
knn-k5-mean-unif,TT,0.0,0.5543498492557526,0.4532292105919974,0.5355371900826447,0.5731625084288604,2.9908738615835198,5386
knn-k5-mean-unif,TT,0.1,0.4991713245988977,0.41156746459447924,0.456198347107438,0.5421443020903574,6.597752700062567,5386
knn-k5-mean-unif,TT,0.25,0.4951470661992945,0.40806814933425906,0.45826446280991734,0.5320296695886716,8.034037529513837,5386
knn-k5-mean-unif,TT,0.5,0.48527707962974315,0.4056323413643238,0.4590909090909091,0.5114632501685772,8.125745095116814,5386
knn-k5-mean-unif,TT,1.0,0.45750084985204215,0.3809205559523381,0.44669421487603306,0.46830748482805123,8.580662792807141,5386
knn-k5-mean-unif,TT,2.0,0.4409432243107839,0.36169040011081705,0.4334710743801653,0.44841537424140254,12.051040876391863,5386
knn-k5-mean-dist,TT,0.0,0.6528490941413151,0.5065928515994196,0.7338842975206612,0.571813890761969,0.0001981965432064562,5386
knn-k5-mean-dist,TT,0.1,0.5184951488773594,0.42900253094498597,0.4921487603305785,0.5448415374241402,5.966940166648117,5386
knn-k5-mean-dist,TT,0.25,0.5010740179332713,0.4138056989959278,0.4640495867768595,0.5380984490896831,7.832900515444518,5386
knn-k5-mean-dist,TT,0.5,0.4880884180491855,0.40771260168587803,0.46033057851239667,0.5158462575859744,8.102168901526262,5386
knn-k5-mean-dist,TT,1.0,0.4552281225793149,0.3779123062679737,0.44214876033057854,0.46830748482805123,8.563551114600074,5386
knn-k5-mean-dist,TT,2.0,0.446271935935088,0.36697195382680087,0.44008264462809915,0.4524612272420769,12.049097220251808,5386
knn-k10-median-unif,TT,0.0,0.5619719075138065,0.4676363858828983,0.5615702479338843,0.5623735670937289,4.155325670002546,5386
knn-k10-median-unif,TT,0.1,0.506538427244306,0.4269597678577717,0.47396694214876034,0.5391099123398516,6.853588613339665,5386
knn-k10-median-unif,TT,0.25,0.49069314489838,0.410052968169033,0.46115702479338844,0.5202292650033715,8.261486470046036,5386
knn-k10-median-unif,TT,0.5,0.4821830609162798,0.4088494844864301,0.45661157024793386,0.5077545515846258,8.244291083655627,5386
knn-k10-median-unif,TT,1.0,0.45934906906371387,0.38951351343517354,0.45578512396694215,0.4629130141604855,8.544520827397273,5386
knn-k10-median-unif,TT,2.0,0.4437390982094592,0.36052690784422214,0.42355371900826444,0.46392447741065407,12.390545325231972,5386
knn-k10-mean-unif,TT,0.0,0.5213023076965945,0.43730665911793704,0.4768595041322314,0.5657451112609575,5.237389389309305,5386
knn-k10-mean-unif,TT,0.1,0.4990839709545649,0.4160970663942999,0.4607438016528926,0.5374241402562373,7.08572979332123,5386
knn-k10-mean-unif,TT,0.25,0.49327627714650335,0.41427190054282637,0.4599173553719008,0.5266351989211059,8.153078007199158,5386
knn-k10-mean-unif,TT,0.5,0.4865989478553078,0.4100850025905004,0.45330578512396696,0.5198921105866486,7.898887174761459,5386
knn-k10-mean-unif,TT,1.0,0.4568810151412983,0.3838427966221721,0.44545454545454544,0.46830748482805123,8.544645521539975,5386
knn-k10-mean-unif,TT,2.0,0.457403186527198,0.3709387392257577,0.44380165289256196,0.47100472016183415,12.035997228874738,5386
knn-k10-mean-dist,TT,0.0,0.660129818382439,0.5185084861742824,0.7433884297520661,0.5768712070128119,0.0003410167663872948,5386
knn-k10-mean-dist,TT,0.1,0.5120305612367159,0.4269095704741748,0.4768595041322314,0.5472016183412003,6.2077425384659355,5386
knn-k10-mean-dist,TT,0.25,0.4969140618469375,0.41383296189074964,0.4628099173553719,0.531018206338503,7.836537579246727,5386
knn-k10-mean-dist,TT,0.5,0.48546209659892003,0.4092717054664219,0.45743801652892563,0.5134861766689144,7.7818895101231895,5386
knn-k10-mean-dist,TT,1.0,0.4544828998623518,0.38163117791890055,0.4450413223140496,0.46392447741065407,8.40475707638216,5386
knn-k10-mean-dist,TT,2.0,0.45550564803308013,0.3695948354656545,0.4396694214876033,0.471341874578557,11.938684717370583,5386
knn-k20-median-unif,TT,0.0,0.5233068439560195,0.4381292238023712,0.5041322314049587,0.5424814565070802,5.340926894123152,5386
knn-k20-median-unif,TT,0.1,0.4860213271066578,0.4122159838731238,0.4690082644628099,0.5030343897505057,6.599317732147128,5386
knn-k20-median-unif,TT,0.25,0.47724500259135216,0.4028991382421727,0.4615702479338843,0.49291975724882,7.126442700147313,5386
knn-k20-median-unif,TT,0.5,0.4694472618045842,0.3987050059519899,0.45743801652892563,0.48145650708024273,7.292415173929949,5386
knn-k20-median-unif,TT,1.0,0.4423998149830308,0.3708996772994405,0.44380165289256196,0.44099797707349964,8.729398862169754,5386
knn-k20-median-unif,TT,2.0,0.43836106730270896,0.3492017531006512,0.421900826446281,0.4548213081591369,12.186518603538794,5386
knn-k20-mean-unif,TT,0.0,0.49868105749458047,0.4145139191272409,0.46735537190082643,0.5300067430883345,6.495828584414679,5386
knn-k20-mean-unif,TT,0.1,0.4882292705761718,0.40912955932164297,0.46735537190082643,0.5091031692515172,7.632154495420104,5386
knn-k20-mean-unif,TT,0.25,0.48447222794982253,0.40316424702286685,0.45950413223140496,0.5094403236682401,8.027415586774302,5386
knn-k20-mean-unif,TT,0.5,0.47976850587651787,0.4005851912213777,0.4578512396694215,0.5016857720836143,7.968282763778334,5386
knn-k20-mean-unif,TT,1.0,0.45392269411456565,0.3795834633679265,0.4462809917355372,0.46156439649359404,9.243011505823334,5386
knn-k20-mean-unif,TT,2.0,0.4398772869379134,0.35174104167119113,0.43471074380165287,0.445043830074174,12.234281622862715,5386
knn-k20-mean-dist,TT,0.0,0.6549635538861922,0.5203239450287246,0.7458677685950413,0.5640593391773432,0.0004940098546059074,5386
knn-k20-mean-dist,TT,0.1,0.501763791287484,0.42108555411387755,0.47520661157024796,0.5283209710047202,6.49900156392959,5386
knn-k20-mean-dist,TT,0.25,0.49319407834242635,0.4101648366666465,0.4681818181818182,0.5182063385030344,7.7198319825709465,5386
knn-k20-mean-dist,TT,0.5,0.4874192640559955,0.4057727046324542,0.4640495867768595,0.5107889413351315,7.706972899206573,5386
knn-k20-mean-dist,TT,1.0,0.4605187998417325,0.38832136711438847,0.44834710743801653,0.4726904922454484,8.782912670678337,5386
knn-k20-mean-dist,TT,2.0,0.44054031085079937,0.35253541141917544,0.44008264462809915,0.44099797707349964,12.095884143634407,5386
knn-k1-median-unif,TTdew,0.0,0.6351555925837173,0.4861657857065865,0.7119834710743802,0.5583277140930546,0.0,5386
knn-k1-median-unif,TTdew,0.1,0.5504109940203853,0.4433482569275631,0.5586776859504132,0.5421443020903574,5.104119008039474,5386
knn-k1-median-unif,TTdew,0.25,0.513247660817084,0.4165315546687291,0.4900826446280992,0.5364126770060688,7.49139222611417,5386
knn-k1-median-unif,TTdew,0.5,0.5087073611118851,0.41579998303701593,0.4847107438016529,0.5327039784221174,6.988714043351053,5386
knn-k1-median-unif,TTdew,1.0,0.48293343847349857,0.3880110925737599,0.45743801652892563,0.5084288604180714,8.57326443475596,5386
knn-k1-median-unif,TTdew,2.0,0.4387330517211594,0.3583113505055989,0.39297520661157026,0.4844908968307485,11.997949544964666,5386
knn-k1-mean-unif,TTdew,0.0,0.6351555925837173,0.4861657857065865,0.7119834710743802,0.5583277140930546,0.0,5386
knn-k1-mean-unif,TTdew,0.1,0.5504109940203853,0.4433482569275631,0.5586776859504132,0.5421443020903574,5.104119008039474,5386
knn-k1-mean-unif,TTdew,0.25,0.513247660817084,0.4165315546687291,0.4900826446280992,0.5364126770060688,7.49139222611417,5386
knn-k1-mean-unif,TTdew,0.5,0.5087073611118851,0.41579998303701593,0.4847107438016529,0.5327039784221174,6.988714043351053,5386
knn-k1-mean-unif,TTdew,1.0,0.48293343847349857,0.3880110925737599,0.45743801652892563,0.5084288604180714,8.57326443475596,5386
knn-k1-mean-unif,TTdew,2.0,0.4387330517211594,0.3583113505055989,0.39297520661157026,0.4844908968307485,11.997949544964666,5386
knn-k1-mean-dist,TTdew,0.0,0.6351555925837173,0.4861657857065865,0.7119834710743802,0.5583277140930546,0.0,5386
knn-k1-mean-dist,TTdew,0.1,0.5504109940203853,0.4433482569275631,0.5586776859504132,0.5421443020903574,5.104119008039474,5386
knn-k1-mean-dist,TTdew,0.25,0.513247660817084,0.4165315546687291,0.4900826446280992,0.5364126770060688,7.49139222611417,5386
knn-k1-mean-dist,TTdew,0.5,0.5087073611118851,0.41579998303701593,0.4847107438016529,0.5327039784221174,6.988714043351053,5386
knn-k1-mean-dist,TTdew,1.0,0.48293343847349857,0.3880110925737599,0.45743801652892563,0.5084288604180714,8.57326443475596,5386
knn-k1-mean-dist,TTdew,2.0,0.4387330517211594,0.3583113505055989,0.39297520661157026,0.4844908968307485,11.997949544964666,5386
knn-k3-median-unif,TTdew,0.0,0.6353406095528942,0.48902083233199245,0.7103305785123967,0.5603506405933918,0.3517913256289572,5386
knn-k3-median-unif,TTdew,0.1,0.5316525303299655,0.43236324936845416,0.525206611570248,0.5380984490896831,6.335491050238993,5386
knn-k3-median-unif,TTdew,0.25,0.50622802226891,0.4109043457154854,0.4797520661157025,0.5327039784221174,8.073963368946133,5386
knn-k3-median-unif,TTdew,0.5,0.5041290270447998,0.4133186551656296,0.47892561983471077,0.5293324342548887,7.395281671208209,5386
knn-k3-median-unif,TTdew,1.0,0.48228072424112395,0.3899054997586029,0.45950413223140496,0.5050573162508429,8.678354136557845,5386
knn-k3-median-unif,TTdew,2.0,0.4436865745668541,0.36168346014710384,0.39917355371900826,0.4881995954146999,12.140240676236811,5386
knn-k3-mean-unif,TTdew,0.0,0.6076823838210462,0.48234314856894595,0.6479338842975206,0.5674308833445718,1.2514418971949302,5386
knn-k3-mean-unif,TTdew,0.1,0.5307777400065758,0.4363346167883614,0.515702479338843,0.5458530006743089,6.028039566841547,5386
knn-k3-mean-unif,TTdew,0.25,0.5075714850955456,0.4151541536690081,0.47603305785123967,0.5391099123398516,7.551669799930743,5386
knn-k3-mean-unif,TTdew,0.5,0.5035472266959424,0.41394724763841234,0.478099173553719,0.5289952798381659,6.996659301925522,5386
knn-k3-mean-unif,TTdew,1.0,0.48876175164258284,0.3986109949133604,0.4731404958677686,0.5043830074173972,8.23347824501953,5386
knn-k3-mean-unif,TTdew,2.0,0.45244548408129603,0.3743453107916388,0.42107438016528925,0.48381658799730276,11.137376527018699,5386
knn-k3-mean-dist,TTdew,0.0,0.6448724664656743,0.4991148813982924,0.7223140495867768,0.5674308833445718,3.0127906607235416e-05,5386
knn-k3-mean-dist,TTdew,0.1,0.5498353237518321,0.44893881650911366,0.5487603305785124,0.5509103169251517,5.41335902680215,5386
